alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,mmd,composite_score
0.1,0.5,16,3,0.19046360060710524,0.48244513643859144,0.111010039613424,0.09004118802174374,0.5379501562453034
0.1,0.5,16,2,0.19099600340894116,0.48855242659329673,0.11188017706472984,0.08558947156110326,0.5444925151256617
0.1,0.5,16,1,0.19354114559260413,0.4969407426192654,0.11268245797939547,0.06767566067093257,0.5532819716089632
0.1,0.5,32,3,0.2784080620428967,0.6867153587204426,0.130674522340946,0.10632815776842397,0.7520526198909157
0.1,0.5,32,2,0.2786347231165975,0.6872155903106405,0.1302123445231944,0.11150922654952197,0.7523217625722377
0.1,0.5,32,1,0.27811360987845474,0.7075368040996111,0.13376530744077736,0.11740542372417939,0.7744194578199998
0.1,0.5,64,3,0.33372498503903014,0.8660741325796254,0.1754839425328461,0.12629914309554885,0.9538161038460484
0.1,0.5,64,2,0.3346510633294307,0.8714318050488551,0.17512415194514513,0.1555704332944774,0.9589938810214277
0.1,0.5,64,1,0.3387569797731432,0.8870260353581283,0.17385474334746012,0.14810083896628629,0.9739534070318584
0.2,0.5,64,3,0.19922271519950677,1.000324016985686,0.13744215144833574,0.15244741507213594,1.0690450927098538
0.2,0.5,64,2,0.20002054096993593,1.0031649869043935,0.13834599443907333,0.14822089604251865,1.0723379841239302
0.2,0.5,64,1,0.20157186347680364,1.0069680672334742,0.13929668211628002,0.1365463767294127,1.0766164082916143
0.1,1.0,16,3,0.308813993030154,1.0132077741822019,0.13089751427449767,0.1208274768269235,1.0786565313194507
0.1,1.0,16,2,0.3096126544437605,1.0194918204177261,0.13199938242269627,0.13741366311908226,1.0854915116290742
0.1,1.0,16,1,0.3118647471815975,1.029259840901998,0.13321913121110288,0.13666312340583364,1.0958694065075494
0.2,0.5,32,3,0.2059896798619658,1.0513540724943715,0.15896433240477517,0.18221011665103098,1.1308362386967592
0.2,0.5,32,2,0.20618348091823657,1.0523825154586144,0.15885931176053253,0.16043972342844642,1.1318121713388807
0.2,0.5,32,1,0.20726810058200237,1.0566735634914224,0.1575014614634378,0.16801141753863455,1.1354242942231414
0.2,1.5,64,3,0.23823421497981967,1.0913680974285536,0.1538695883500837,0.13085456376496307,1.1683028916035954
0.2,1.5,64,2,0.23939656271525636,1.094520820286666,0.15475213542450114,0.11860778459112466,1.1718968879989167
0.2,2.0,64,3,0.2370059503986071,1.1011681887848832,0.14446100531633824,0.12466496898050985,1.1733986914430523
0.2,0.5,16,3,0.21974617895898454,1.0832649605137008,0.1814399820718554,0.17033050076951986,1.1739849515496286
0.2,0.5,16,2,0.22012158439054857,1.0848964539190942,0.1807528804921877,0.14460283050713926,1.175272894165188
0.2,2.0,64,2,0.23817713590666675,1.1036229828233466,0.14536263861567125,0.12596307302301196,1.1763043021311823
0.2,1.5,64,1,0.24146580146582058,1.0989038857149511,0.1555148894031977,0.1299959116987226,1.1766613304165499
0.2,0.5,16,1,0.22101465651497515,1.0880499614484271,0.17784341840715095,0.19097000308845202,1.1769716706520026
0.2,2.0,64,1,0.24030628179475505,1.1070446053812468,0.14611318668870385,0.11602079772652257,1.1801011987255987
0.2,1.0,64,3,0.2393629552159238,1.1170125463743599,0.1552437029971655,0.13938377219044157,1.1946343978729426
0.2,1.0,64,2,0.24040022235436845,1.1200563001750479,0.1560839791708669,0.13645550195314143,1.1980982897604813
0.2,1.0,64,1,0.2422452212617792,1.1241950984838247,0.15681329350470785,0.12525387980936228,1.2026017452361786
0.2,2.0,32,3,0.24914783317507816,1.150811255126727,0.15149851903542846,0.13386116560610634,1.2265605146444414
0.2,1.5,32,3,0.24907875316756845,1.1454597130358557,0.16237648564514642,0.1428292878981065,1.226647955858429
0.2,2.0,32,2,0.24955981173233296,1.1516534590267595,0.15143799237048655,0.14352818080273316,1.2273724552120029
0.2,1.5,32,2,0.24947980397538108,1.1466080994223509,0.1622892776517079,0.18500559386736395,1.2277527382482047
0.2,2.0,32,1,0.25088092826548913,1.1552802096383177,0.15073164195179334,0.12103835737521448,1.2306460306142144
0.2,1.5,32,1,0.2507690297442254,1.1508903019757717,0.16148395210272087,0.1442344597402856,1.231632278027132
0.2,1.0,32,3,0.24878199079508345,1.169885890443129,0.1610921320678403,0.12551704683813725,1.2504319564770492
0.2,1.0,32,2,0.2491163139108735,1.1709967864655564,0.16096306507345282,0.17909281671678245,1.251478319002283
0.2,1.0,32,1,0.2502435902816218,1.1750019572599095,0.1601687611401724,0.14885428737159828,1.2550863378299957
0.2,2.0,16,3,0.26566413368083186,1.1859832302501276,0.18461586353388368,0.1592214335351468,1.2782911620170694
0.2,2.0,16,2,0.2661869148366535,1.1870249176070322,0.18363964864165652,0.14071617325669614,1.2788447419278606
0.2,2.0,16,1,0.2671571774975712,1.1896852611967295,0.18561214312122792,0.15518203173226142,1.2824913327573435
0.2,1.5,16,3,0.26553743192045093,1.1870591792167062,0.19332285174932823,0.19093683904448536,1.2837206050913703
0.2,1.5,16,2,0.2659975364859581,1.1881665692936862,0.19246014888897509,0.1745172336890378,1.2843966437381737
0.2,1.5,16,1,0.26692019527023264,1.191149758040055,0.19415542966916088,0.15149017360081898,1.2882274728746355
0.2,1.0,16,3,0.26410471016432036,1.2086030854817946,0.1931058285554028,0.1892624155783334,1.305155999759496
0.2,1.0,16,2,0.264485040532358,1.2096920703844163,0.19229044656192715,0.16174822602088348,1.30583729366538
0.2,1.0,16,1,0.26531130931541896,1.21261897984573,0.193501234226368,0.18414587632276289,1.309369596958914
0.1,1.0,32,2,0.4050966664220843,1.2422791738665475,0.15064847062938505,0.1459415959143853,1.31760340918124
0.1,1.0,32,3,0.40512458360116904,1.2422862944903925,0.15073809498491197,0.14470388828615477,1.3176553419828485
0.1,1.0,32,1,0.4055600528115787,1.2656965065822459,0.15370845380483183,0.16383882443683906,1.3425507334846618
0.1,1.5,16,3,0.38554045979418244,1.3715528776218853,0.13921665974702566,0.1601018340720405,1.4411612074953981
0.1,1.5,16,2,0.38638254078731166,1.3775351680752543,0.14056248851588002,0.15101023954640022,1.4478164123331942
0.1,1.5,16,1,0.38828205680097005,1.387760609903124,0.1421931639975199,0.12883635340381594,1.458857191901884
0.1,1.0,64,3,0.4632973062834193,1.4505852449355214,0.20172356182514004,0.1516684615205603,1.5514470258480915
0.1,1.0,64,2,0.4642106639746658,1.457444252875995,0.20107056865080014,0.1794900855123778,1.5579795372013951
0.1,1.0,64,1,0.46863887106442437,1.4762739741904,0.20097898956388408,0.16798449146369152,1.5767634689723422
0.3,0.5,64,3,0.31479158666333956,1.4935455340600399,0.18382246471769587,0.28951709994511016,1.5854567664188879
0.3,0.5,64,2,0.316137439424817,1.5003664648773138,0.18915013305326198,0.29170664561208465,1.5949415314039448
0.3,0.5,32,3,0.3386672308421686,1.5082823869081925,0.20027973152290163,0.3046682448230516,1.6084222526696432
0.3,0.5,32,2,0.3406563889082817,1.5130064418953109,0.1999041064038044,0.33653593733170123,1.6129584950972131
0.3,0.5,64,1,0.3180420779404604,1.513300385085271,0.20496699316772282,0.28159737800547274,1.6157838816691326
0.3,0.5,32,1,0.343001489908486,1.5203582350992901,0.20190460810567104,0.31915238620490055,1.6213105391521256
0.3,0.5,16,3,0.3417443548237012,1.5305662276762324,0.2412992488462739,0.3085981825688177,1.6512158520993694
0.3,0.5,16,2,0.3438246672012736,1.535394462920541,0.24247088055852148,0.32372138061378797,1.6566299031998017
0.3,0.5,16,1,0.34562827644791305,1.541663605372299,0.24537316694806624,0.3157270652516508,1.6643501888463321
0.1,1.5,32,3,0.4812797588284225,1.5966752051766617,0.16096090674020205,0.15737785697786735,1.6771556585467629
0.1,1.5,32,2,0.481147615151858,1.5969156202679315,0.1609955329943401,0.1705943826197848,1.6774133867651015
0.3,2.0,64,3,0.36266640597246336,1.5863882714066833,0.21538207473140328,0.2718783576463925,1.6940793087723849
0.1,1.5,32,1,0.48164337657118145,1.6203485347382258,0.16393247593146487,0.17103492842479331,1.7023147727039583
0.3,1.5,64,3,0.36119611964509263,1.5929544520041898,0.2192104687316185,0.29869361704231373,1.702559686369999
0.1,2.0,16,3,0.4372188205136465,1.6296266638523917,0.14674428196984007,0.14629169060705655,1.7029988048373117
0.3,2.0,64,2,0.3650606024041943,1.5956608507011,0.22077009634339967,0.2786555675644144,1.7060458988728
0.3,1.0,64,3,0.35721703023308354,1.6012608607245349,0.20994437328163754,0.3043302095535034,1.7062330473653537
0.1,2.0,16,2,0.43806848059095493,1.6353283670139964,0.14826853214822888,0.13882443621743176,1.7094626330881109
0.3,1.5,64,2,0.3634474660725579,1.601926736029477,0.22407789824532925,0.29559536825533717,1.7139656851521416
0.3,1.0,64,2,0.3591752758070103,1.6094527104698264,0.2144317435330805,0.29197299164613877,1.7166685822363668
0.1,2.0,16,1,0.43978173558037786,1.6457970966102669,0.15010549630226944,0.16327413959231996,1.7208498447614016
0.3,2.0,64,1,0.36814667005689516,1.611344982631113,0.23530350184774354,0.27384455940993613,1.7289967335549847
0.3,1.5,64,1,0.36636055275311113,1.6169223780081905,0.23792504446203702,0.3087710588319403,1.735884900239209
0.3,1.0,64,1,0.36175162598870003,1.6231164584276092,0.2280747150561581,0.3084156266183103,1.7371538159556883
0.3,2.0,32,3,0.3939166428388413,1.6292850958947611,0.23358814370023634,0.30459491163854424,1.7460791677448793
0.3,2.0,32,2,0.39669780992219855,1.6343030685361586,0.23267979846694617,0.289897483703405,1.7506429677696316
