alpha,gamma,m_neighbors,refine_iters,mean_err_l2,cov_err_fro,corr_err_fro,downstream_auc,composite_score
0.1,2.0,16,1,0.034133883671637964,0.3264950193516229,0.15143179861795766,0.8542440748130157,0.4022109186606017
0.1,2.0,16,2,0.03441992228752944,0.32615039292654346,0.15383335891160307,0.8542154609067778,0.403067072382345
0.1,2.0,64,1,0.02709783714298998,0.35100160805129477,0.1782384982415439,0.852986870132624,0.4401208571720667
0.1,2.0,64,2,0.02673698328044563,0.36312235850979696,0.17860227074532317,0.8530395799599043,0.45242349388245856
0.1,1.5,16,2,0.02831699760823784,0.38807773090275416,0.15202326339119193,0.8541344383722724,0.4640893625983501
0.1,1.5,16,1,0.02805786253921978,0.388790168911929,0.15107504204156572,0.8541702810548232,0.4643276899327119
0.1,2.0,32,1,0.037472572068685914,0.3882405097820559,0.18297054889101314,0.8541082340581385,0.47972578422756246
0.1,2.0,32,2,0.03688922147814995,0.39168845895859966,0.17663038355601993,0.8540130551700209,0.4800036507366096
0.1,1.5,64,1,0.02823738695387911,0.4197381480618737,0.19239811200886311,0.8528657881293855,0.5159372040663053
0.1,1.5,64,2,0.027708767795958933,0.4304530106881728,0.19265295338714697,0.8528778360899066,0.5267794873817463
0.1,1.5,32,1,0.038993043498079104,0.45327360323713467,0.1906210851567453,0.8539901640450306,0.5485841458155073
0.1,1.5,32,2,0.03816961441027768,0.456948263368883,0.1848566490051701,0.8539091415105251,0.549376587871468
0.1,1.0,16,2,0.020779405175537762,0.5012015208238328,0.15859551557750037,0.8540377534890894,0.580499278612583
0.1,1.0,16,1,0.02058712940996196,0.5020469248435067,0.15959650931946157,0.8540320307078417,0.5818451795032374
0.1,1.0,64,1,0.031577720614834125,0.5385342497706895,0.21603381416076195,0.8526100701673222,0.6465511568510705
0.1,1.0,64,2,0.030922423899862685,0.5467487934854404,0.21595447295282125,0.8526106725653482,0.654726029961851
0.1,1.0,32,1,0.04132001241834265,0.5662251248117609,0.20581584716094245,0.8538061314480685,0.6691330483922321
0.1,1.0,32,2,0.04023301605893905,0.5697695118287124,0.20105030594302725,0.853763662387231,0.670294664800226
0.1,0.5,16,2,0.01842111072727879,0.7258054124619582,0.19072299602566464,0.8537973966766905,0.8211669104747905
0.1,0.5,16,1,0.018724194729996577,0.7265542456097555,0.19326722314569178,0.8537606503971008,0.8231878571826013
0.1,0.5,64,1,0.040133237640149165,0.7662707687263118,0.24790266608682604,0.8522932088056134,0.8902221017697248
0.1,0.5,64,2,0.039698722980284686,0.7706828405318139,0.24732222696029596,0.8522552577299715,0.8943439540119619
0.1,0.5,32,1,0.041787022585951454,0.7852060307232095,0.23305402805808126,0.853454029801835,0.9017330447522501
0.1,0.5,32,2,0.04058404868661409,0.7876732603522525,0.23014850178336088,0.8534696921505127,0.9027475112439329
0.2,2.0,16,2,0.21518224114160608,1.9664524666955185,0.6130730395448468,0.8551347202945485,2.272988986467942
0.2,2.0,16,1,0.21509025068643306,1.9714340762251237,0.6120665776789609,0.8551808037435423,2.277467365064604
0.2,1.5,16,2,0.21370054360815233,1.9959270431554486,0.6115208383585339,0.8551509850412523,2.3016874623347157
0.2,1.5,16,1,0.213673841100593,2.0005789138048122,0.6107162370395606,0.855197068490246,2.3059370323245925
0.2,1.0,16,2,0.21131746002653684,2.0433473048309008,0.612517896993091,0.85518652652479,2.349606253327446
0.2,2.0,32,2,0.2199400648179315,2.089478463494361,0.520555014591115,0.855506701075642,2.3497559707899183
0.2,1.0,16,1,0.21138748866918614,2.047477017153911,0.6119758327146456,0.8552305015806925,2.353464933511234
0.2,2.0,32,1,0.21951997508801796,2.097684500135882,0.5187006737222092,0.8555452545493099,2.357034836996987
0.2,1.5,32,2,0.21897339978645847,2.1153722505354047,0.5240934014638413,0.8555157370460329,2.3774189512673254
0.2,1.5,32,1,0.21850374336919295,2.1234859270743884,0.5224674618387076,0.8555199538322152,2.384719657993742
0.2,1.0,32,2,0.21729281227104646,2.1564719310647646,0.5330884562947572,0.8554952555131468,2.423016159212143
0.2,0.5,16,2,0.20464187794660044,2.1174010014141924,0.6247946203370738,0.8552317063767445,2.4297983115827293
0.2,1.0,32,1,0.21675790564357464,2.1644003054756595,0.5318227915386629,0.85554525454931,2.430311701244991
0.2,0.5,16,1,0.2048703129920989,2.1206572289358703,0.624566829046418,0.8552792958208035,2.4329406434590792
0.2,2.0,64,2,0.16999267796410775,2.1704200644978413,0.5850970779775204,0.8543790119708535,2.4629686034866016
0.2,2.0,64,1,0.16709796019203008,2.181826785862682,0.5927422093361884,0.8544946723918575,2.4781978905307764
0.2,1.5,64,2,0.17076736589260816,2.19336973157626,0.5935922780636618,0.8543347357159379,2.490165870608091
0.2,0.5,32,2,0.2113672268942997,2.2167987811756817,0.5561819644773323,0.8554311001233711,2.494889763414348
0.2,0.5,32,1,0.21077567123639826,2.2242208760343476,0.5553226702024564,0.8554955567121597,2.501882211135576
0.2,1.5,64,1,0.1679458265983847,2.204513452259785,0.6007901176794457,0.8544744920579844,2.504908511099508
0.2,1.0,64,2,0.17167553915469463,2.229378885186415,0.6079406106994678,0.8542910618590485,2.533349190536149
0.2,1.0,64,1,0.16898984175742965,2.2400650391736656,0.6144159579374255,0.8544455769527335,2.5472730181423784
0.2,0.5,64,2,0.16947369888164873,2.2791012545870597,0.626914594355243,0.854267568336032,2.5925585517646814
0.2,0.5,64,1,0.16710490616710022,2.2888247952919594,0.6320538490628604,0.8544488901418767,2.6048517198233894
0.3,2.0,16,2,0.3143533631618202,2.335600371635965,0.8071780409358746,0.8549464709114041,2.7391893921039023
